,week_end_date,Invoiced Sales (CAF)
0,2021-02-07,94997.94
1,2021-02-14,13722.43
2,2021-02-21,64698.45
3,2021-02-28,145500.07
4,2021-03-07,27786.52
5,2021-03-14,29696.15
6,2021-03-21,99450.44
7,2021-03-28,110920.36
8,2021-04-04,77276.02
9,2021-04-11,49523.55
10,2021-04-18,113963.7
11,2021-04-25,74855.23
12,2021-05-02,71279.2
13,2021-05-09,95131.52
14,2021-05-16,15990.08
15,2021-05-23,72011.26
16,2021-05-30,111936.98
17,2021-06-06,59333.59
18,2021-06-13,54049.45
19,2021-06-20,62077.65
20,2021-06-27,82361.53
21,2021-07-04,132424.36
22,2021-07-11,51834.37
23,2021-07-18,60.8
24,2021-07-18,52194.35
25,2021-07-25,89979.57
26,2021-08-01,153756.54
27,2021-08-08,77556.63
28,2021-08-15,40382.0
29,2021-08-22,46306.16
30,2021-08-29,138036.77
31,2021-09-05,108.84
32,2021-09-05,64085.91
33,2021-09-12,89607.97
34,2021-09-19,52740.5
35,2021-09-26,95929.97
36,2021-10-03,112397.75
37,2021-10-10,63709.44
38,2021-10-17,42744.51
39,2021-10-24,98227.27
40,2021-10-31,113218.79
41,2021-11-07,4676.36
42,2021-11-14,120497.84
43,2021-11-21,29165.48
44,2021-11-28,147522.56
45,2021-12-05,80257.94
46,2021-12-12,181697.91
47,2021-12-19,5502.65
48,2021-12-26,3368.37
49,2022-01-02,1257.46
50,2022-01-09,2518.13
51,2022-01-16,1133.18
52,2022-01-23,1660.7
53,2022-01-30,2017.75
54,2022-02-06,14820.78
55,2022-02-13,3132.26
56,2022-02-20,52861.54
57,2022-02-27,292071.04
58,2022-03-06,59268.22
59,2022-03-13,18336.58
60,2022-03-20,22199.46
61,2022-03-27,59666.54
62,2022-04-03,19541.95
63,2022-04-10,86446.33
64,2022-04-17,22543.31
65,2022-04-24,100724.15
66,2022-05-01,330029.2
67,2022-05-08,151016.42
68,2022-05-15,66481.14
69,2022-05-22,43205.91
70,2022-05-29,106263.92
71,2022-06-05,13419.66
72,2022-06-12,75.39
73,2022-06-12,176170.63
74,2022-06-19,104.64
75,2022-06-19,4569.28
76,2022-06-26,45433.78
77,2022-07-03,161148.22
78,2022-07-10,90269.56
79,2022-07-17,11659.66
80,2022-07-24,148403.18
81,2022-07-31,140.69
82,2022-07-31,107776.58
83,2022-08-07,204.64
84,2022-08-07,18683.27
85,2022-08-14,126932.09
86,2022-08-21,1156.85
87,2022-08-21,50813.97
88,2022-08-28,306.96
89,2022-08-28,107931.79
90,2022-09-04,184.64
91,2022-09-04,71806.7
92,2022-09-11,109540.24
93,2022-09-18,22001.46
94,2022-09-25,63759.45
95,2022-10-02,122338.53
96,2022-10-09,109220.65
97,2022-10-16,75705.26
98,2022-10-23,470.42
99,2022-10-23,194490.17
100,2022-10-30,422.24
101,2022-10-30,214004.26
102,2022-11-06,1270.77
103,2022-11-13,21129.79
104,2022-11-20,60559.51
105,2022-11-27,22500.03
106,2022-12-04,257.0
107,2022-12-04,2382.1
108,2022-12-11,215038.14
109,2022-12-18,14023.49
110,2022-12-25,128.5
111,2022-12-25,5126.8
112,2023-01-01,25468.37
113,2023-01-08,56140.01
114,2023-01-15,135545.39
115,2023-01-22,71165.48
116,2023-01-29,100000.61
117,2023-02-05,113036.44
118,2023-02-12,33002.53
119,2023-02-19,-128.5
120,2023-02-19,71591.69
121,2023-02-26,132631.13
122,2023-03-05,199980.2
123,2023-03-12,32154.01
124,2023-03-19,56957.24
125,2023-03-26,27960.72
126,2023-04-02,103066.69
127,2023-04-09,21386.2
128,2023-04-16,60026.02
129,2023-04-23,-118.08
130,2023-04-23,10787.77
131,2023-04-30,15453.45
132,2023-05-07,41111.83
133,2023-05-14,45538.99
134,2023-05-21,75774.63
135,2023-05-28,36442.17
136,2023-06-04,549470.96
137,2023-06-11,40755.17
138,2023-06-18,44243.29
